Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,99.389999,99.779999,99.010002,99.760002,93.316986,1294138
2019-04-16,99.330002,100.080002,98.949997,99.470001,93.045708,1781291
2019-04-17,98.099998,100.059998,97.769997,99.370003,92.952171,2283564
2019-04-18,99.660004,101.019997,99.220001,100.480003,93.990486,3944639
2019-04-23,100.800003,102.139999,100.500000,101.839996,95.262642,2144933
2019-04-24,107.000000,116.320000,106.919998,114.620003,107.217247,8635777
2019-04-25,115.080002,115.199997,111.699997,115.040001,107.610123,4612262
2019-04-26,115.339996,117.080002,114.099998,114.339996,106.955322,3778974
2019-04-29,113.720001,115.000000,111.760002,115.000000,107.572701,2241297
2019-04-30,114.199997,115.199997,113.239998,114.580002,107.179832,2576082
2019-05-02,113.599998,114.000000,112.440002,113.099998,105.795418,2984610
2019-05-03,112.599998,113.660004,112.320000,113.660004,106.319252,2209498
2019-05-06,111.379997,112.800003,111.040001,112.500000,105.234169,2105594
2019-05-07,112.199997,113.180000,109.959999,110.059998,102.951759,2699819
2019-05-08,110.000000,111.239998,109.419998,111.099998,103.924591,2368627
2019-05-09,110.099998,111.699997,109.559998,110.080002,102.970467,2681636
2019-05-10,111.599998,111.919998,109.919998,110.239998,103.120132,2427404
2019-05-13,110.940002,111.339996,109.779999,109.900002,102.802086,3210370
2019-05-14,110.800003,111.919998,109.379997,111.919998,104.691620,3358261
2019-05-15,112.860001,113.279999,110.660004,112.959999,105.664459,3704943
2019-05-16,111.660004,116.220001,111.459999,116.080002,110.044235,3770718
2019-05-17,115.300003,115.620003,113.779999,114.599998,108.641190,3387785
2019-05-20,113.879997,114.199997,111.279999,111.900002,106.081581,2827331
2019-05-21,112.820000,114.540001,112.320000,113.760002,107.844872,2226387
2019-05-22,113.559998,115.720001,113.559998,115.680000,109.665031,2623657
2019-05-23,114.440002,114.820000,112.779999,113.180000,107.295029,2893570
2019-05-24,113.339996,114.500000,113.339996,113.620003,107.712151,1872287
2019-05-27,114.220001,114.459999,113.379997,113.720001,107.806946,676763
2019-05-28,113.800003,114.120003,112.699997,113.160004,107.276062,2891163
2019-05-29,112.239998,112.779999,111.199997,111.199997,105.417984,2539627
2019-05-30,111.580002,112.220001,110.919998,112.000000,106.176384,1120984
2019-05-31,111.440002,111.779999,109.900002,110.419998,104.678528,2588784
2019-06-03,109.599998,111.379997,109.180000,111.220001,105.436928,2280685
2019-06-04,108.919998,111.139999,108.279999,111.139999,105.361099,2637001
2019-06-05,112.239998,113.919998,111.480003,111.959999,106.138458,2471815
2019-06-06,112.160004,112.800003,110.580002,111.379997,105.588615,1885826
2019-06-07,112.099998,114.239998,112.080002,113.720001,107.806946,2354457
2019-06-11,114.019997,114.660004,113.180000,113.180000,107.295029,2014094
2019-06-12,112.379997,113.580002,111.959999,113.320000,107.427750,1840442
2019-06-13,113.760002,114.900002,113.519997,114.440002,108.489510,1913057
2019-06-14,114.680000,114.680000,113.180000,113.540001,107.636307,1680954
2019-06-17,114.599998,114.980003,113.839996,114.620003,108.660149,1628327
2019-06-18,115.000000,118.220001,113.580002,118.160004,112.016090,3314071
2019-06-19,117.559998,118.120003,116.860001,116.980003,110.897438,2393016
2019-06-20,118.500000,119.419998,118.320000,118.720001,112.546967,2162343
2019-06-21,118.639999,119.440002,117.760002,118.500000,112.338402,8413074
2019-06-24,118.500000,119.239998,118.260002,118.820000,112.641762,1792674
2019-06-25,118.680000,119.739998,118.220001,118.459999,112.300484,2034657
2019-06-26,117.440002,118.519997,116.980003,118.500000,112.338402,2114001
2019-06-27,118.800003,118.800003,116.959999,118.000000,111.864403,1933707
2019-06-28,118.320000,120.760002,118.260002,120.760002,114.480888,3600914
2019-07-01,122.580002,123.639999,121.139999,122.260002,115.902893,2507852
2019-07-02,122.860001,123.500000,121.739998,123.500000,117.078415,1950067
2019-07-03,123.459999,125.000000,123.339996,124.379997,117.912659,2029596
2019-07-04,124.860001,124.980003,123.480003,123.760002,117.324898,1195658
2019-07-05,123.680000,124.699997,122.120003,122.820000,116.433777,2056605
2019-07-08,122.660004,123.940002,122.480003,123.199997,116.794014,1486343
2019-07-09,123.419998,124.059998,122.540001,123.000000,116.604424,2134639
2019-07-10,122.980003,123.040001,121.360001,121.900002,115.561623,1812330
2019-07-11,122.500000,122.620003,121.099998,121.919998,115.580582,1614771
2019-07-12,121.980003,122.139999,120.900002,121.059998,114.765289,1655671
2019-07-15,121.260002,122.419998,120.620003,121.419998,115.106567,1411626
2019-07-16,121.440002,121.639999,120.320000,120.980003,114.689461,2004279
2019-07-17,121.139999,121.919998,119.400002,120.059998,113.817291,2346564
2019-07-18,110.000000,114.419998,108.099998,113.320000,107.427750,6059180
2019-07-19,113.279999,113.739998,111.400002,112.000000,106.176384,3739082
2019-07-22,112.000000,112.480003,110.959999,111.239998,105.455887,2076869
2019-07-23,111.980003,112.620003,111.239998,112.459999,106.612457,2503598
2019-07-24,112.559998,114.220001,112.540001,113.779999,107.863823,2283223
2019-07-25,114.620003,114.820000,112.220001,112.220001,106.384941,3429388
2019-07-26,113.300003,114.339996,112.599998,114.099998,108.167183,2064020
2019-07-29,114.199997,114.959999,113.419998,113.419998,107.522537,1512146
2019-07-30,113.639999,113.639999,110.339996,110.580002,104.830208,2482270
2019-07-31,110.500000,112.139999,110.099998,111.720001,105.910942,2035920
2019-08-01,110.620003,113.180000,110.559998,113.180000,107.295029,1916607
2019-08-02,110.680000,112.139999,109.139999,109.360001,103.673645,3650556
2019-08-05,108.220001,108.300003,105.739998,106.180000,100.659004,3698539
2019-08-06,106.339996,107.220001,104.000000,104.000000,98.592346,2660904
2019-08-07,104.660004,106.760002,104.500000,106.199997,100.677956,2848175
2019-08-08,108.000000,108.660004,107.400002,108.660004,103.010048,2446102
2019-08-09,108.519997,109.059998,105.800003,106.080002,100.564201,2604093
2019-08-12,106.680000,108.059998,105.900002,106.339996,100.810677,1245355
2019-08-13,105.919998,108.660004,105.440002,107.620003,102.024132,2310378
2019-08-14,107.839996,107.959999,104.919998,105.480003,99.995399,2699332
2019-08-15,106.519997,106.720001,104.040001,105.739998,100.241875,2664902
2019-08-16,106.239998,107.580002,106.080002,107.300003,101.720764,2347862
2019-08-19,108.559998,108.699997,107.480003,107.980003,102.365410,1641413
2019-08-20,107.959999,108.220001,106.739998,106.860001,101.303642,1650077
2019-08-21,107.160004,109.860001,106.919998,109.860001,104.147652,2042372
2019-08-22,109.339996,109.959999,107.379997,107.480003,101.891403,2074114
2019-08-23,108.500000,109.260002,106.379997,106.379997,100.848595,2333551
2019-08-26,105.620003,106.919998,105.279999,106.720001,101.170929,1167023
2019-08-27,107.000000,109.139999,106.440002,108.540001,102.896286,2155424
2019-08-28,107.739998,107.739998,106.000000,107.120003,101.550125,1568135
2019-08-29,106.820000,108.800003,106.599998,108.379997,102.744606,1648210
2019-08-30,108.599998,109.599998,108.120003,108.599998,102.953171,1680992
2019-09-02,108.059998,108.800003,107.500000,108.360001,102.725655,1007361
2019-09-03,108.339996,108.980003,107.720001,108.300003,102.668770,1531858
2019-09-04,108.919998,109.440002,108.540001,109.220001,103.540924,1660004
2019-09-05,110.000000,111.620003,109.660004,111.480003,105.683418,2195946
2019-09-06,111.900002,112.059998,110.959999,111.300003,105.512787,1790502
2019-09-09,111.080002,111.739998,109.980003,110.199997,104.469978,1360904
2019-09-10,109.699997,109.839996,107.500000,108.739998,103.085892,2132667
2019-09-11,109.440002,110.120003,108.839996,109.139999,103.465088,1583581
2019-09-12,109.139999,110.400002,108.099998,109.339996,103.654678,2393558
2019-09-13,109.519997,109.739998,107.879997,107.879997,102.270607,2224830
2019-09-16,107.160004,107.199997,105.739998,106.480003,100.943405,1912766
2019-09-17,106.800003,108.559998,106.480003,108.260002,102.630844,1795910
2019-09-18,108.500000,108.680000,107.839996,108.500000,102.858368,1741386
2019-09-19,108.199997,109.360001,107.959999,109.099998,103.427170,1892125
